source_dataset,n_samples,loss,accuracy,precision,recall,f1,roc_auc,eer,eer_threshold,acc_real,acc_fake,tn,fp,fn,tp
for-norm,4634,0.6707001162414012,0.8040569702201122,0.9993169398907104,0.6172995780590718,0.7631716223265519,0.9969297460899644,0.025889356055523248,0.0007408055826090276,0.9995583038869258,0.6172995780590718,2263,1,907,1463
for-2sec,1088,0.7304875892313087,0.7922794117647058,0.996875,0.5863970588235294,0.7384259259259259,0.9939328097967128,0.03308823529411764,0.001081715221516788,0.9981617647058824,0.5863970588235294,543,1,225,319
for-rerec,816,1.0883586806948204,0.6850490196078431,0.9934640522875817,0.37254901960784315,0.5418894830659536,0.9631301662821992,0.09926470588235292,0.0035380858462303877,0.9975490196078431,0.37254901960784315,407,1,256,152
