run_name,features,pooling,accuracy,precision,recall,f1,roc_auc,eer,n_params,training_time
lcnn_logmel_attentive,Log-Mel only,attentive,0.847863616745792,0.9982046678635548,0.7037974683544304,0.8255382331106161,0.9989963993380149,0.009710977918921747,1667713,1h 14m
lcnn_lfcc_attentive,LFCC only,attentive,0.7928355632283125,0.9902642559109874,0.60084388185654,0.7478991596638656,0.9729836665622996,0.07984691595473453,1667713,1h 14m
lcnn_multi_attentive_v1,Log-Mel + LFCC,attentive,0.8040569702201122,0.9993169398907104,0.6172995780590718,0.7631716223265519,0.9969297460899644,0.025889356055523248,1669313,2h 41m
lcnn_multi_plain,Log-Mel + LFCC,plain,0.8826068191627104,0.99945295404814,0.7708860759493671,0.8704144830871844,0.9983246298698395,0.020506440935724825,1504449,1h 7m
